input,output
Author bio display,"description:
The UI should display an author's bio, including their name, profile picture, bio text, and social media links. The layout should be responsive, with the profile picture above the bio text on mobile devices and to the left of the bio text on larger screens.
components:
- SocialMediaLinks: standalone component
- ProfilePicture: standalone component
html:
<div class=""flex flex-wrap -mx-4""><div class=""w-full md:w-1/3 xl:w-1/4 px-4 mb-4 md:mb-0""><ProfilePicture/></div><div class=""w-full md:w-2/3 xl:w-3/4 px-4""><h2 class=""text-lg font-bold"">{author_name}</h2><p class=""text-gray-600"">{bio_text}</p><SocialMediaLinks/></div></div>
component html:
SocialMediaLinks:
<ul class=""flex justify-start mb-4""><li class=""mr-4""><a href=""{twitter_url}"" target=""_blank"" rel=""noopener noreferrer"">Twitter</a></li><li class=""mr-4""><a href=""{linkedin_url}"" target=""_blank"" rel=""noopener noreferrer"">LinkedIn</a></li><li><a href=""{github_url}"" target=""_blank"" rel=""noopener noreferrer"">GitHub</a></li></ul>
ProfilePicture:
<img class=""w-24 h-24 rounded-full mb-4"" src=""{profile_picture_url}"" alt=""{author_name}'s profile picture""/>"
Venue information display,"description:
The UI should display the essential information about a venue, including its name, address, and a brief description. The layout should be responsive, mobile-first, and accessible, with clear typography and sufficient whitespace.
components:
- VenueHeader: Standalone component to display the venue's name and address.
- VenueDescription: Standalone component to display a brief description of the venue.
html:
<div class=""max-w-md mx-auto p-4""><VenueHeader/><VenueDescription/></div>
component html:
VenueHeader:
<div class=""flex justify-between mb-2""><h2 class=""text-lg font-bold"">{venue_name}</h2><p class=""text-gray-600"">{venue_address}</p></div>
VenueDescription:
<p class=""text-gray-600"">{venue_description}</p>"
Breadcrumb navigation for category and subreddits,"description:
The UI should display a breadcrumb navigation for categories and subreddits. Each item in the breadcrumb should display the category name and have a separator (e.g., `/`) between each item.
components:
- BreadCrumb: standalone component that renders a single breadcrumb item.
- BreadCrumbNavigation: container component that takes children (multiple `BreadCrumb` components).
html:
<nav class=""flex items-center mb-4""><BreadCrumbNavigation><BreadCrumb/><BreadCrumb/><!-- Add more Breadcrumbs as needed --></BreadCrumbNavigation></nav>
component html:
BreadCrumb:
<li class=""mr-2""><a href=""{category_url}"" class=""text-gray-600 hover:text-gray-900"">{category_name}</a><span class=""text-gray-400"">/</span></li>
BreadCrumbNavigation:
<ul class=""flex"">{children}</ul>"
Video Players/Embeds,"description:
The UI should display a responsive video player/embed that adapts to different screen sizes. The video player should have a maximum width and be centered horizontally on the page. The video title and video description should be displayed below the video player.
components:
- VideoPlayer: A standalone component that wraps the video player/embed.
- VideoTitle: A standalone component that displays the video title.
- VideoDescription: A standalone component that displays the video description.
html:
<div class=""max-w-md mx-auto""><VideoPlayer/><VideoTitle/><VideoDescription/></div>
component html:
VideoPlayer:
<div class=""video-player aspect-w-16 aspect-h-9""><iframe src=""{video_url}"" frameborder=""0"" allowfullscreen></iframe></div>
VideoTitle:
<h2 class=""text-lg font-bold"">{video_title}</h2>
VideoDescription:
<p class=""text-sm"">{video_description}</p>"
A component to display the number of comments on a news story,"description:
The component should display the number of comments on a news story in a clear and concise manner. It should be easily readable and stand out from the rest of the UI. On smaller screens, it should be compact and easy to tap on mobile devices. On larger screens, it should be more prominent and have more visual hierarchy.
components:
- CommentCount: (Standalone): Displays the number of comments on a news story.
html:
<div class=""flex justify-center mb-4""><CommentCount/></div>
component html:
CommentCount:
<span class=""bg-orange-100 text-orange-800 py-1 px-2 rounded-full text-sm sm:text-base md:text-lg lg:text-xl"">{comment_count} comments</span>"
"Section header with a white background, blue title text, and a subtle gradient effect","description:
The UI should have a clean and modern design, with a white background to provide a neutral background for the section header. The title text should be in blue to draw attention to the section. A subtle gradient effect should add depth to the design. The section header should be responsive, with a smaller font size on mobile devices and a larger font size on larger screens.
components:
- SectionHeader: (Takes Children): A section header component that contains a title and optional children. On mobile devices, the title font size should be `lg` and the padding should be `py-2`. On larger screens, the title font size should be `xl` and the padding should be `py-4`. The background should have a subtle gradient effect.
html:
<SectionHeader>{children}</SectionHeader>
component html:
SectionHeader:
<div class=""bg-gradient-to-r from-gray-100 to-white py-2 md:py-4""><h2 class=""text-blue-700 text-lg md:text-xl"">{children}</h2></div>"
Testimonial quote text component with a italic font and white color,"description:
The Testimonial Quote Text component should be a block of italic text with a white color. The text should be wrapped in a container with a subtle background color and a slight shadow to give it a quote-like appearance. The text should be large enough to be readable on different screen sizes.
components:
- TestimonialQuoteText: (Takes Children): This component wraps the quote text and provides the styling for it.
html:
<div class=""md:w-1/2 lg:w-1/3 xl:w-1/4 p-4 bg-gray-800 rounded-md shadow-md""><TestimonialQuoteText><!-- Quote text will be rendered here --></TestimonialQuoteText></div>
component html:
TestimonialQuoteText:
<p class=""text-white font-italic text-2xl md:text-3xl lg:text-4xl xl:text-5xl"">{children}</p>"
Ruby text,"description:
The UI should feature a heading with a main text that has a pronunciation guide right above it using the ruby annotation. This is commonly used to aid in reading East Asian characters by providing phonetic information. The UI should be simple, clear, and visually distinct to separate ruby text from the main text.
components:
- RubyText: (Standalone): This component will display the main text with its corresponding pronunciation text (ruby) above it.
- PageTitle: (Standalone): Displays the main heading of the page.
html:
<div class=""container mx-auto p-4""><PageTitle/><div class=""text-center mt-8""><RubyText/></div></div>
component html:
RubyText:
<p class=""text-lg leading-normal""><ruby>{base_characters} <rt>{pronunciation}</rt></ruby></p>
PageTitle:
<h1 class=""text-2xl font-bold text-gray-800"">Understanding Ruby Annotations </h1>"
Coupon/Discount Codes,"description:
A clean and simple coupon/discount code input field with a submit button. The input field should be accompanied by a label and a description. The submit button should be prominent and accessible.
components:
- CouponCodeInput: Standalone component that renders a single input field for the coupon/discount code.
- SubmitButton: Standalone component that renders a submit button.
- CouponCodeLabel: Standalone component that renders a label for the input field.
- DescriptionText: Standalone component that renders a small text description.
html:
<div class=""max-w-md mx-auto p-4""><form><CouponCodeLabel/><CouponCodeInput/><DescriptionText/><SubmitButton/></form></div>
component html:
CouponCodeInput:
<input type=""text"" id=""coupon-code"" class=""block w-full pl-10 text-sm text-gray-700""/>
SubmitButton:
<button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">Apply Code</button>
CouponCodeLabel:
<label for=""coupon-code"" class=""block text-sm font-bold mb-2"">Enter your coupon code:</label>
DescriptionText:
<p class=""text-xs text-gray-500"">Enter a valid coupon code to receive your discount.</p>"
Hero Video: Engage visitors with a captivating video,"description:
The Hero Video component should take up the full width and height of the viewport, pushing the rest of the content below the fold. It should have a dark overlay to enhance the video's visibility, and a prominent call-to-action (CTA) button in the center.
components:
- HeroVideoContainer: (standalone): Wraps the entire Hero Video section.
- VideoOverlay: (standalone): Dark overlay for the video.
- HeroVideo: (standalone): The actual video element.
- CallToAction: (standalone): The prominent CTA button.
html:
<div class=""min-h-screen flex items-center justify-center""><HeroVideoContainer/></div>
component html:
HeroVideoContainer:
<div class=""absolute top-0 left-0 w-full h-full""><VideoOverlay/><HeroVideo/><CallToAction/></div>
VideoOverlay:
<div class=""absolute top-0 left-0 w-full h-full bg-gray-900 opacity-75""></div>
HeroVideo:
<video class=""w-full h-full object-cover"" autoplay muted loop><source src=""{video_source}"" type=""video/mp4""/></video>
CallToAction:
<button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">{call_to_action_text}</button>"
