input,output
Dynamic Product Feature List,"DESCRIPTION:
The UI should display a list of product features in a clean and organized manner, with each feature listed in a separate row. The list should be responsive and work well on mobile devices.
COMPONENTS:
- FeatureListItem: a standalone component that displays a single product feature.
- FeatureList: a component that takes children, wrapping the list of features.
HTML:
<div class=""max-w-md mx-auto p-4 pt-6""><h2 class=""text-lg font-bold mb-4"">Product Features</h2><FeatureList><FeatureListItem/><FeatureListItem/><!-- Add more FeatureListItem components as needed --></FeatureList></div>
COMPONENT HTML:
FeatureListItem:
<div class=""flex items-center mb-4""><i class=""fas fa-check text-green-500 mr-2"" aria-hidden=""true""></i><p class=""text-gray-700"">{feature_name}</p><p class=""text-gray-500 text-sm"">{feature_description}</p></div>
FeatureList:
<ul class=""list-none mb-0"">{children}</ul>"
Page Content Header Image,"DESCRIPTION:
The UI should display a full-width header image with a responsive design, ensuring it looks good on all devices and screen sizes. The image should be centered horizontally and take up the full width of the screen.
COMPONENTS:
- PageContentHeaderImage: Standalone component, displays a full-width image.
HTML:
<header><PageContentHeaderImage/></header>
COMPONENT HTML:
PageContentHeaderImage:
<div class=""h-screen w-full relative""><img src=""{header_image_url}"" alt=""{header_image_alt}"" class=""w-full h-full object-cover object-center""/></div>"
User profile popup with avatar and username,"DESCRIPTION:
The UI should be a popup modal that displays a user's avatar and username. The popup should be responsive, mobile-first, and accessible. The avatar should be a circular image, and the username should be displayed in a readable font size.
COMPONENTS:
- UserProfilePopup: - standalone component that represents the entire popup modal.
- UserProfileAvatar: - standalone component that represents the user's avatar.
- UserProfileUsername: - standalone component that represents the user's username.
HTML:
<div class=""fixed top-0 left-0 w-full h-full bg-gray-500 bg-opacity-50 flex justify-center pt-20""><!-- popup modal container --><div class=""bg-white rounded shadow-md p-4 w-96 md:w-128 lg:w-160""><!-- UserProfilePopup component --><UserProfilePopup/></div></div>
COMPONENT HTML:
UserProfilePopup:
<div class=""flex flex-col items-center""><UserProfileAvatar/><UserProfileUsername/></div>
UserProfileAvatar:
<img src=""{avatar_url}"" alt=""User Avatar"" class=""rounded-full w-24 h-24 mb-2""/>
UserProfileUsername:
<h2 class=""text-lg font-bold"">{username}</h2>"
Header Search Input,"DESCRIPTION:
The UI should be a responsive header search input that is mobile-first, accessible, and SEO-friendly. It should have a search icon, a text input field, and a submit button.
COMPONENTS:
- SearchHeader: standalone component that wraps the entire search input.
- SearchInput: standalone component that contains the search icon, text input field, and submit button.
HTML:
<header class=""bg-white py-4""><SearchHeader/></header>
COMPONENT HTML:
SearchHeader:
<div class=""container mx-auto p-4 flex justify-center""><SearchInput/></div>
SearchInput:
<div class=""flex justify-between w-full max-w-md""><span class=""inline-flex items-center justify-center w-12 h-12 bg-gray-100 text-gray-500""><i class=""fas fa-search""></i></span><input type=""search"" id=""search"" class=""flex-1 p-2 pl-10 text-sm text-gray-700"" placeholder=""{search_placeholder}""/><button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">{search_button_label} </button></div>"
"Overlay window that focuses attention on a specific piece of content, often an image or video","DESCRIPTION:
The UI should be a modal window that appears over the main content, dimming the background to focus attention on the overlay's content. It should have a close button, and the content area should be flexible to accommodate different types of content such as images, videos, or text.
COMPONENTS:
- ModalOverlay: standalone, a container for the modal window
- ModalContent: takes children, a container for the content of the modal window
- CloseButton: standalone, a button to close the modal window
HTML:
<div class=""fixed inset-0 flex justify-center items-center""><ModalOverlay/><ModalContent><!-- Content goes here --></ModalContent><CloseButton/></div>
COMPONENT HTML:
ModalOverlay:
<div class=""absolute inset-0 bg-gray-900 opacity-50"" aria-hidden=""true""></div>
ModalContent:
<div class=""w-full max-w-2xl p-4 bg-white rounded shadow-md"">{children}</div>
CloseButton:
<button class=""absolute top-0 right-0 p-4 text-gray-600 hover:text-gray-900"" aria-label=""Close"">×</button>"
Bidding/Auction Functions,"DESCRIPTION:
The UI should display a list of auctions, with each auction showing its title, current price, bidding information, and a ""Place Bid"" button. The bidding information should include the current highest bidder and the number of bids. The UI should be responsive, with a layout that adapts to different screen sizes.
COMPONENTS:
- AuctionCard: A standalone component representing a single auction.
- BidInfo: A standalone component displaying the current highest bidder and number of bids.
- PlaceBidButton: A standalone component for the ""Place Bid"" button.
- AuctionList: A component that takes children, displaying a list of auctions.
HTML:
<div class=""max-w-md mx-auto p-4""><AuctionList><AuctionCard/><AuctionCard/><!-- Add more auction cards here --></AuctionList></div>
COMPONENT HTML:
AuctionCard:
<div class=""bg-white shadow-md p-4 rounded""><h2 class=""text-lg font-bold"">{auction_title}</h2><p class=""text-gray-600"">{auction_description}</p><BidInfo/><PlaceBidButton/></div>
BidInfo:
<p class=""text-sm text-gray-600 mb-2"">Current bid: {current_bid} by {highest_bidder_name} ({num_bids} bids)</p>
PlaceBidButton:
<button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">Place Bid</button>
AuctionList:
<div class=""flex flex-wrap justify-center"">{children}</div>"
Featured Image Zoom Button,"DESCRIPTION:
The UI should display a featured image with a zoom button overlay on top of it. The zoom button should be a circular icon with a zoom-in icon inside. When hovered, the zoom button should change its background color and cursor to indicate interactivity.
COMPONENTS:
- FeaturedImage: Standalone component that displays the featured image.
- ZoomButton: Standalone component that displays the zoom button.
HTML:
<div class=""relative""><FeaturedImage/><ZoomButton/></div>
COMPONENT HTML:
FeaturedImage:
<img src=""{imageSrc}"" alt=""{imageAlt}"" class=""w-full h-full object-cover rounded-md""/>
ZoomButton:
<div class=""absolute top-1/2 left-1/2 transform -translate-x-1/2 -translate-y-1/2 bg-gray-200 hover:bg-gray-300 rounded-full p-2 cursor-pointer""><span class=""fas fa-search-plus text-lg""></span></div>"
Language translation tool,"DESCRIPTION:
A simple and intuitive language translation tool with a source language input, a target language dropdown, and a translate button. The translated text is displayed below the input fields.
COMPONENTS:
- LanguageInput: standalone, input field for source language text
- LanguageSelector: standalone, dropdown for selecting target language
- TranslateButton: standalone, button to initiate translation
- TranslatedText: standalone, displays the translated text
- TranslationTool: takes children, container for the entire translation tool
HTML:
<div class=""max-w-md mx-auto p-4 pt-6 pb-8 mb-4 bg-white rounded shadow-md""><TranslationTool><LanguageInput/><LanguageSelector/><TranslateButton/><TranslatedText/></TranslationTool></div>
COMPONENT HTML:
LanguageInput:
<input type=""text"" class=""w-full p-2 pl-10 text-sm text-gray-700"" placeholder=""Enter text to translate""/>
LanguageSelector:
<select class=""w-full p-2 pl-10 text-sm text-gray-700""><option value="""">Select language</option><!-- options will be populated dynamically --><option value=""{language_code}"">{language_name}</option></select>
TranslateButton:
<button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">Translate</button>
TranslatedText:
<p class=""text-gray-600"">{translated_text}</p>
TranslationTool:
<div class=""flex flex-col space-y-4"">{children}</div>"
Availability and Pricing Calendars,"DESCRIPTION:
The UI should display a calendar for availability and pricing, showing the dates and corresponding prices. It should have a title, a month selector, and a grid of days with prices.
COMPONENTS:
- CalendarTitle: Standalone component to display the title of the calendar.
- MonthSelector: Standalone component to select the month.
- AvailabilityGrid: Component that takes children to render the grid of days with prices.
- DayCell: Standalone component to render a single day with its price.
HTML:
<div class=""flex flex-col""><CalendarTitle/><MonthSelector/><AvailabilityGrid><!-- grid of days with prices --><DayCell/><DayCell/><DayCell/><!-- repeat for each day of the month --></AvailabilityGrid></div>
COMPONENT HTML:
CalendarTitle:
<h2 class=""text-2xl font-bold"">{calendar_title}</h2>
MonthSelector:
<select class=""py-2 pl-2 pr-4 text-gray-700""><option value=""January"">{month_name}</option><!-- repeat for each month --></select>
AvailabilityGrid:
<table class=""w-full""><tbody><tr>{children} </tr></tbody></table>
DayCell:
<td class=""px-2 py-1 border border-gray-200""><span class=""text-sm"">{day_number}</span><span class=""text-xs"">{day_price}</span></td>"
Blog Post Category Name,"DESCRIPTION:
The UI should display a category name for a blog post, with a visually appealing design that is responsive, mobile-first, accessible, and SEO-friendly.
COMPONENTS:
- CategoryName: a standalone component that displays the category name of a blog post.
HTML:
<div class=""text-lg font-bold mb-2""><CategoryName/></div>
COMPONENT HTML:
CategoryName:
<span class=""text-lg"">{category_name}</span>"
