input,output
Friends List: List of friends with profile links,"DESCRIPTION:
The Friends List UI should display a list of friends with their profile links. The list should be responsive, mobile-first, and accessible. Each friend's profile link should be displayed with their name and a profile picture.
COMPONENTS:
- FriendItem: A standalone component representing a single friend's profile link.
- FriendsList: A component that takes children ( FriendItems ) and renders them in an unordered list.
HTML:
<div class=""container mx-auto p-4 pt-6 md:p-6 lg:p-12""><h2 class=""text-2xl font-bold mb-4"">Friends List</h2><ul class=""flex flex-wrap justify-center mb-4""><FriendItem/><FriendItem/><FriendItem/></ul></div>
COMPONENT HTML:
FriendItem:
<li class=""w-full md:w-1/2 lg:w-1/3 xl:w-1/4 p-4""><a href=""{profileLink}"" class=""block""><img src=""{profilePicture}"" alt=""{friendName}"" class=""w-12 h-12 rounded-full mb-2""><span class=""text-lg"">{friendName}</span></a></li>
FriendsList:
<ul class=""flex flex-wrap justify-center mb-4"">{children}</ul>"
Friends List: List of friends with profile links,"DESCRIPTION:
The Friends List UI should display a list of friends with their profile links. The list should be responsive, mobile-first, and accessible. Each friend's profile link should be displayed with their name and a profile picture.
COMPONENTS:
- FriendItem: A standalone component representing a single friend's profile link.
- FriendsList: A component that takes children ( FriendItems ) and renders them in an unordered list.
HTML:
<div class=""container mx-auto p-4 pt-6 md:p-6 lg:p-12""><h2 class=""text-2xl font-bold mb-4"">Friends List</h2><ul class=""flex flex-wrap justify-center mb-4""><FriendItem/><FriendItem/><FriendItem/></ul></div>
COMPONENT HTML:
FriendItem:
<li class=""w-full md:w-1/2 lg:w-1/3 xl:w-1/4 p-4""><a href=""{profileLink}"" class=""block""><img src=""{profilePicture}"" alt=""{friendName}"" class=""w-12 h-12 rounded-full mb-2""><span class=""text-lg"">{friendName}</span></a></li>
FriendsList:
<ul class=""flex flex-wrap justify-center mb-4"">{children}</ul>"
Friends List: List of friends with profile links,"DESCRIPTION:
The Friends List UI should display a list of friends with their profile links. The list should be responsive, mobile-first, and accessible. Each friend's profile link should be displayed with their name and a profile picture.
COMPONENTS:
- FriendItem: A standalone component representing a single friend's profile link.
- FriendsList: A component that takes children ( FriendItems ) and renders them in an unordered list.
HTML:
<div class=""container mx-auto p-4 pt-6 md:p-6 lg:p-12""><h2 class=""text-2xl font-bold mb-4"">Friends List</h2><ul class=""flex flex-wrap justify-center mb-4""><FriendItem/><FriendItem/><FriendItem/></ul></div>
COMPONENT HTML:
FriendItem:
<li class=""w-full md:w-1/2 lg:w-1/3 xl:w-1/4 p-4""><a href=""{profileLink}"" class=""block""><img src=""{profilePicture}"" alt=""{friendName}"" class=""w-12 h-12 rounded-full mb-2""><span class=""text-lg"">{friendName}</span></a></li>
FriendsList:
<ul class=""flex flex-wrap justify-center mb-4"">{children}</ul>"
Friends List: List of friends with profile links,"DESCRIPTION:
The Friends List UI should display a list of friends with their profile links. The list should be responsive, mobile-first, and accessible. Each friend's profile link should be displayed with their name and a profile picture.
COMPONENTS:
- FriendItem: A standalone component representing a single friend's profile link.
- FriendsList: A component that takes children ( FriendItems ) and renders them in an unordered list.
HTML:
<div class=""container mx-auto p-4 pt-6 md:p-6 lg:p-12""><h2 class=""text-2xl font-bold mb-4"">Friends List</h2><ul class=""flex flex-wrap justify-center mb-4""><FriendItem/><FriendItem/><FriendItem/></ul></div>
COMPONENT HTML:
FriendItem:
<li class=""w-full md:w-1/2 lg:w-1/3 xl:w-1/4 p-4""><a href=""{profileLink}"" class=""block""><img src=""{profilePicture}"" alt=""{friendName}"" class=""w-12 h-12 rounded-full mb-2""><span class=""text-lg"">{friendName}</span></a></li>
FriendsList:
<ul class=""flex flex-wrap justify-center mb-4"">{children}</ul>"
Friends List: List of friends with profile links,"DESCRIPTION:
The UI should be a responsive list of friends with profile links. The list should be displayed in a grid on larger screens and a vertical list on smaller screens. Each friend's name should be a link to their profile.
COMPONENTS:
- FriendCard: (standalone): a single friend's information with a profile link
- FriendsList: (takes children): a container for the list of friends
HTML:
<div class=""container mx-auto p-4""><h2 class=""text-lg font-bold mb-4"">Friends</h2><FriendsList><!-- friend cards will be inserted here --><FriendCard/><FriendCard/><!-- ... --></FriendsList></div>
COMPONENT HTML:
FriendCard:
<div class=""flex items-center mb-4""><img src={profile_image_url} alt=""Profile image"" class=""w-12 h-12 rounded-full mr-4""/><a href={profile_url} class=""text-blue-600 hover:text-blue-900"">{friend_name}</a></div>
FriendsList:
<ul class=""grid grid-cols-1 md:grid-cols-2 lg:grid-cols-3 gap-4"">{children}</ul>"
GloballyUniqueIdentifiableElements,"DESCRIPTION:
The UI should display a list of unique elements, each with a unique identifier, name, and description.
COMPONENTS:
- UniqueIdCard: A standalone component that displays a single unique element's details.
- UniqueIdList: A component that takes children, which are multiple **UniqueIdCard** components.
HTML:
<div class=""max-w-md mx-auto p-4""><h1 class=""text-2xl font-bold mb-4"">Globally Unique Identifiable Elements</h1><UniqueIdList><UniqueIdCard/><UniqueIdCard/><UniqueIdCard/><!-- Add more UniqueIdCard components here --></UniqueIdList></div>
COMPONENT HTML:
UniqueIdCard:
<div class=""bg-white shadow-md p-4 rounded mb-4""><h2 class=""text-lg font-bold"">{element_name}</h2><p class=""text-gray-600"">{element_description}</p><p class=""text-sm text-gray-500"">Unique ID: {unique_id}</p></div>
UniqueIdList:
<ul class=""divide-y divide-gray-200"">{children}</ul>"
Reply button to respond to tweets,"DESCRIPTION:
A small reply button that appears when hovering over a tweet, with a white reply icon on a blue background.
COMPONENTS:
- ReplyButton: - Standalone
HTML:
<div class=""flex justify-end""><ReplyButton/></div>
COMPONENT HTML:
ReplyButton:
<button class=""bg-blue-500 hover:bg-blue-700 text-white font-bold py-2 px-4 rounded""><i class=""fas fa-reply"" aria-hidden=""true""></i><!-- Button text for screen readers --><span class=""sr-only"">Reply</span></button>"
Reply button to respond to tweets,"DESCRIPTION:
The UI should be a small button with a reply icon and the text ""Reply"". The button should be blue and round, with a subtle hover effect. The text should be white and centered vertically within the button.
COMPONENTS:
- ReplyButton: (standalone)
HTML:
<button><ReplyButton/></button>
COMPONENT HTML:
ReplyButton:
<button class=""bg-blue-500 hover:bg-blue-700 text-white font-bold py-2 px-4 rounded-full""><i class=""fas fa-reply mr-2""></i>Reply</button>"
Reply button to respond to tweets,"DESCRIPTION:
A small reply button that appears when hovering over a tweet, with a white reply icon on a blue background.
COMPONENTS:
- ReplyButton: - Standalone
HTML:
<div class=""flex justify-end""><ReplyButton/></div>
COMPONENT HTML:
ReplyButton:
<button class=""bg-blue-500 hover:bg-blue-700 text-white font-bold py-2 px-4 rounded""><i class=""fas fa-reply"" aria-hidden=""true""></i><!-- Button text for screen readers --><span class=""sr-only"">Reply</span></button>"
Reply button to respond to tweets,"DESCRIPTION:
A small reply button that appears when hovering over a tweet, with a white reply icon on a blue background.
COMPONENTS:
- ReplyButton: - Standalone
HTML:
<div class=""flex justify-end""><ReplyButton/></div>
COMPONENT HTML:
ReplyButton:
<button class=""bg-blue-500 hover:bg-blue-700 text-white font-bold py-2 px-4 rounded""><i class=""fas fa-reply"" aria-hidden=""true""></i><!-- Button text for screen readers --><span class=""sr-only"">Reply</span></button>"
